Site,Botanical name,no.stems,Size
36,Pongamia pinnata,2,17.69180601
36,Pongamia pinnata,1,14
36,Pongamia pinnata,4,23.70126579
36,Azadirachta indica,1,19.5
36,Pongamia pinnata,8,40.5555175
36,Pongamia pinnata,4,43.40218888
36,Pongamia pinnata,2,28.50438563
36,Butea monosperma,1,26
36,Butea monosperma,1,32
36,Butea monosperma,1,36.5
36,Butea monosperma,1,40
36,Alangium salvifolium,3,9.848857802
36,Alangium salvifolium,1,8
36,Alangium salvifolium,1,8.5
36,Alangium salvifolium,1,9.5
36,Alangium salvifolium,2,14.15980226
36,Alangium salvifolium,1,11.5
36,Alangium salvifolium,3,22.23173408
36,Alangium salvifolium,1,13
40,Pongamia pinnata,1,2
40,Azadirachta indica,1,2
40,Pongamia pinnata,1,3
40,Pongamia pinnata,1,4
40,Pongamia pinnata,2,5
40,Pongamia pinnata,1,4.2
40,Pongamia pinnata,1,4.2
40,Pongamia pinnata,1,4.5
40,Pongamia pinnata,1,5.5
40,Pongamia pinnata,1,7.8
40,Pongamia pinnata,1,8.1
40,Pongamia pinnata,2,9.080198236
40,Alangium salvifolium,3,17.58124
40,Alangium salvifolium,1,9
40,Alangium salvifolium,2,11.85959527
40,Alangium salvifolium,1,11
40,Alangium salvifolium,1,11.3
40,Azadirachta indica,1,13.5
40,Pongamia pinnata,2,16.2788206
40,Pongamia pinnata,1,17.2
40,Pongamia pinnata,2,26.34729588
40,Pongamia pinnata,2,26
40,Azadirachta indica,1,25.7
40,Pongamia pinnata,1,81
40,Pongamia pinnata,2,113.9960087
40,Azadirachta indica,2,10
40,Azadirachta indica,1,7.4
40,Azadirachta indica,1,8.4
40,Alangium salvifolium,4,22.24387556
40,Azadirachta indica,1,13
40,Pongamia pinnata,3,27.72111109
40,Pongamia pinnata,1,24.2
40,Pongamia pinnata,6,44.07595716
40,Pongamia pinnata,4,54.20156824
40,Azadirachta indica,1,30
40,Pongamia pinnata,2,67.59127163
40,Azadirachta indica,1,6.7
40,Azadirachta indica,1,9.3
40,Azadirachta indica,1,9.5
40,Azadirachta indica,1,9.5
40,Azadirachta indica,1,10.7
40,Azadirachta indica,1,10.7
40,Azadirachta indica,1,12.1
40,Azadirachta indica,1,15.5
40,Azadirachta indica,1,16.4
40,Azadirachta indica,2,24.7145706
40,Pongamia pinnata,4,34.42048808
40,Butea monosperma,2,72.44418541
41,Cassia fistula,3,38.96331608
41,Cassia fistula,1,42
41,Cassia fistula,1,23
41,Cassia fistula,2,31.8596924
41,Acacia chundra,1,2
41,Acacia chundra,1,2
41,Acacia chundra,1,2
41,Wrightia tinctoria,1,32.5
N,Acacia chundra,1,2
N,Acacia chundra,1,2
N,Acacia chundra,1,2
N,Acacia chundra,1,2
N,Acacia chundra,1,2
N,Acacia chundra,1,2.2
N,Acacia chundra,1,13.3
N,Acacia chundra,2,16.31103921
N,Acacia chundra,1,14.5
N,Acacia chundra,4,30.24665271
N,Acacia chundra,5,29.8795917
N,Acacia chundra,3,26.64582519
N,Acacia chundra,1,18.5
N,Acacia chundra,1,20
N,Acacia chundra,6,34.0702216
N,Acacia chundra,4,34.70590728
N,Acacia chundra,5,35.9185189
N,Acacia chundra,1,25
N,Acacia chundra,1,2
N,Acacia chundra,3,6.536053855
N,Acacia chundra,4,21.63192086
N,Acacia chundra,1,11
N,Acacia chundra,1,11.8
N,Acacia chundra,3,22.95386678
N,Acacia chundra,1,12.2
N,Acacia chundra,2,15.1726728
N,Acacia chundra,1,13
N,Acacia chundra,1,13.5
N,Acacia chundra,10,40.04484986
N,Acacia chundra,5,39.85912693
N,Acacia chundra,6,27.74887385
N,Acacia chundra,1,20.5
N,Acacia chundra,1,21.5
N,Acacia chundra,1,2
N,Acacia chundra,1,2
N,Acacia chundra,1,2
N,Acacia chundra,2,13.79311422
N,Acacia chundra,2,14.42775104
N,Acacia chundra,2,16.64241569
N,Acacia chundra,3,19.33856251
N,Acacia chundra,3,19.40360791
N,Acacia chundra,2,22.05107707
